"ID";"Site";"Habitat";"Mg24";"Al27";"Cr52";"Fe57";"Cu65";"Zn66";"Ba138";"Pb208";"pred_adult_core"
"ID142";"AK";"Non-upwelling";276.2315283;3.849228913;0;5.570807363;0.139503415;1.902747639;0.803137799;0.00532543;"Non-upwelling"
"ID142";"AK";"Non-upwelling";320.9090178;2.771919536;0.128060582;5.43313306;0.300719388;1.82470464;0.792159273;0.006698614;"Non-upwelling"
"ID142";"AK";"Non-upwelling";286.299613;4.072150527;0.680267394;6.397621772;0.242810462;2.197380994;0.682389063;0.003676228;"Non-upwelling"
"ID142";"AK";"Non-upwelling";276.6942206;3.694726283;1.208465214;9.60711005;0.26004097;1.481871814;0.654212692;0.004419169;"Non-upwelling"
"ID142";"AK";"Non-upwelling";302.515322;3.422743882;1.760672025;17.19751208;0.121777817;1.454315555;0.57071507;0.003386894;"Non-upwelling"
"ID142";"AK";"Non-upwelling";284.2611282;6.793375536;2.288869845;7.562387235;0.088871812;1.184422923;0.578873881;0.001178452;"Non-upwelling"
"ID142";"AK";"Non-upwelling";299.3877231;3.107958543;2.841076657;15.02828161;0.238425138;1.324550092;0.706809605;0.00145662;"Non-upwelling"
"ID142";"AK";"Non-upwelling";297.6922769;6.349821001;3.393283469;7.102719949;0.226351218;1.126245749;0.622933819;0.003344392;"Non-upwelling"
"ID142";"AK";"Non-upwelling";281.4241813;8.395091371;3.921481288;6.77466908;0.096865915;0.720835319;0.674630856;0.004031806;"Non-upwelling"
"ID142";"AK";"Non-upwelling";285.9873059;7.338519955;4.4736881;5.950899443;0.062166905;0.699460128;0.736108406;0.00377056;"Non-upwelling"
"ID142";"AK";"Non-upwelling";289.8368256;10.45010118;5.025894912;20.67320601;0.112652136;0.89934134;0.543380679;0.002072162;"Non-upwelling"
"ID142";"AK";"Non-upwelling";260.4931649;10.79861102;3.055078384;3.195015846;0.035624182;0.790922533;0.506398277;0.003990723;"Non-upwelling"
"ID142";"AK";"Non-upwelling";323.5287254;5.059716032;6.106299543;33.75087472;0.250677504;0.448158657;0.663240746;0.00639638;"Non-upwelling"
"ID142";"AK";"Non-upwelling";295.5106711;7.499200746;6.658506355;21.36493877;0.045552626;0.952965582;0.632308943;0.007280084;"Non-upwelling"
"ID142";"AK";"Non-upwelling";255.0971951;5.771474866;7.561118166;16.35347272;0.09982826;0.645020329;0.776809237;0.000636305;"Saline"
"ID142";"AK";"Non-upwelling";296.7826846;8.652731512;9.033233443;6.868140687;0.224363605;0.3961522;1.136155932;0.003235996;"Upwelling"
"ID142";"AK";"Non-upwelling";263.7256646;7.508880658;6.725524513;11.03302078;0.205945198;0.391790411;1.200354311;0.026507732;"Upwelling"
"ID142";"AK";"Non-upwelling";259.6813924;2.570632509;6.024278017;12.51796309;0.241621105;0.443746205;1.18182457;0.002716744;"Upwelling"
"ID142";"AK";"Non-upwelling";272.987447;6.609212119;5.86771014;12.44781742;0.149453756;0.59497188;0.85098692;0.006534412;"Non-upwelling"
"ID142";"AK";"Non-upwelling";251.7685775;2.741565472;3.76508373;31.33173373;0.128588621;0.553612121;0.739955606;0.00411828;"Non-upwelling"
"ID142";"AK";"Non-upwelling";255.3549861;6.413717627;11.9008553;22.99332373;0.15054444;0.269039477;0.795878507;0.026866258;"Non-upwelling"
"ID142";"AK";"Non-upwelling";274.7887761;3.098353248;9.169765585;16.77635053;0.065426406;0.44043215;0.78819471;0.006983842;"Non-upwelling"
"ID142";"AK";"Non-upwelling";261.9494342;5.07117407;7.948751114;23.16967821;0.194934395;0.431229845;0.822271513;0.000878904;"Upwelling"
"ID142";"AK";"Non-upwelling";255.3871693;1.425735041;10.26527117;43.98411202;0.166597553;1.050638722;1.1705752;0.00359825;"Non-upwelling"
"ID142";"AK";"Non-upwelling";263.8085702;4.628405757;11.88520034;22.75592385;0.246348478;1.991902987;0.985157342;0.002517321;"Non-upwelling"
"ID142";"AK";"Non-upwelling";246.8195104;3.333020556;11.84389311;17.94156966;0.154498608;0.660496437;0.903938227;0.004290742;"Upwelling"
"ID142";"AK";"Non-upwelling";276.6726306;2.919770556;19.2428439;23.3420338;0.123798906;0.628561515;1.306127284;0.001861181;"Non-upwelling"
"ID142";"AK";"Non-upwelling";301.5503298;6.611631866;13.55639141;26.07576819;0.053440943;1.028662197;4.86497106;0.001663745;"Brackish"
"ID143";"AK";"Non-upwelling";361.6592774;115.1162398;9.610924442;16.37271209;0.65335467;8.506932173;0.897681816;0.026730594;"Marine"
"ID143";"AK";"Non-upwelling";305.3165486;23.85199345;5.211985159;16.8107112;0.211210894;6.901056023;1.019013214;0.085514667;"Non-upwelling"
"ID143";"AK";"Non-upwelling";322.830384;21.73439073;9.438729924;17.26861936;0.327878546;8.957351221;1.018582522;0.016580949;"Non-upwelling"
"ID143";"AK";"Non-upwelling";322.8604334;26.49021233;11.08195129;17.72652752;0.592459399;4.064603023;0.952210703;0.022005172;"Non-upwelling"
"ID143";"AK";"Non-upwelling";292.7539789;22.72189037;11.69282327;18.16452663;0.478490075;7.924006807;0.878693744;0.011426366;"Non-upwelling"
"ID143";"AK";"Non-upwelling";290.4458143;20.45615543;13.77078825;18.62243479;0.395527267;8.113747671;0.91270986;0.013035845;"Non-upwelling"
"ID143";"AK";"Non-upwelling";266.8791644;49.43047683;11.05922626;19.0604339;0.225215928;3.664216849;0.816289156;0.009156816;"Non-upwelling"
